Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,21888.6382,0.13427803364391602,21888.6382,21888.6382,51987.0264,7331.5
2,21932.635199999997,0.13427803364391602,21932.635199999997,21932.635199999997,51773.5704,7073
3,21904.6723,0.13427803364391602,21904.6723,21904.6723,51745.9446,7055.5
4,21982.0268,0.13427803364391602,21982.0268,21982.0268,51417.4536,7033
5,21913.040800000002,0.12125486654196113,21913.040800000002,21913.040800000002,51418.0316,6698
6,21911.5732,0.12125486654196113,21911.5732,21911.5732,51471.6464,6785.5
7,21964.4352,0.13427803364391602,21964.4352,21964.4352,51737.0704,7028.5
8,22054.212700000004,0.14345885640508527,22054.212700000004,22054.212700000004,51115.37540000001,6392
9,21949.3762,0.13427803364391602,21949.3762,21949.3762,50125.9643,6957
10,21922.215900000003,0.13427803364391602,21922.215900000003,21922.215900000003,51727.28180000001,7032.5
11,22035.051,0.12125486654196113,22035.051,22035.051,51733.102,6934.5
12,21944.644500000002,0.07040330935926263,21944.644500000002,21944.644500000002,50515.689000000006,5802
13,22047.462700000004,0.12125486654196113,22047.462700000004,22047.462700000004,51541.17540000001,6776
14,21928.6765,0.13427803364391602,21928.6765,21928.6765,51794.30300000001,7127
15,21964.5297,0.14345885640508527,21964.5297,21964.5297,51431.2094,6710.5
16,21990.879200000003,0.12125486654196113,22119.379200000003,21990.879200000003,51029.80840000001,6309
17,21920.634400000003,0.15501989247470577,21920.634400000003,21920.634400000003,51646.61880000001,6973
18,21905.923799999997,0.12125486654196113,21905.923799999997,21905.923799999997,51484.1476,6772
19,21921.2183,0.12125486654196113,21921.2183,21921.2183,51552.28660000001,6859.5
20,21916.386599999998,0.14345885640508527,21916.386599999998,21916.386599999998,51524.4732,6800.5
21,21921.2439,0.2673319575863428,21921.2439,21921.2439,51207.9878,6520
22,21945.7146,0.14345885640508527,21945.7146,21945.7146,49938.9719,6809
23,21827.159399999997,0.14014355929688527,21827.159399999997,21827.159399999997,51304.51879999999,6606
24,21947.5948,0.12125486654196113,21947.5948,21947.5948,51482.889599999995,6786.5
25,21927.7189,0.12125486654196113,21927.7189,21927.7189,51576.08780000001,6885.5
26,21910.013899999998,0.18215432419105043,21910.013899999998,21910.013899999998,51570.1778,6861.5
27,22205.7005,0.12125486654196113,22205.7005,22205.7005,51243.701,6360.5
28,21980.014000000003,0.14345885640508527,21980.014000000003,21980.014000000003,51088.678000000014,6682.5
29,22142.4522,0.13427803364391602,22142.4522,22142.4522,50853.9044,6017.5
30,21922.634700000002,0.12125486654196113,21922.634700000002,21922.634700000002,51716.669400000006,7021
31,21913.6434,0.12125486654196113,21913.6434,21913.6434,51340.336800000005,6634.5
32,21908.977100000004,0.12125486654196113,21908.977100000004,21908.977100000004,51489.00420000001,6785
33,21907.660900000003,0.12125486654196113,21907.660900000003,21907.660900000003,51483.37180000001,6780.5
34,21901.040699999998,0.13427803364391602,21901.040699999998,21901.040699999998,51593.9314,6935.5
35,21989.5746,0.14345885640508527,21989.5746,21989.5746,51052.6992,6374.5
36,22035.704299999998,0.14345885640508527,22035.704299999998,22035.704299999998,50982.6086,6285
37,22022.064400000003,0.09260729922238675,22022.064400000003,22022.064400000003,50463.17880000001,5666
38,21901.652000000002,0.13427803364391602,21901.652000000002,21901.652000000002,51550.60400000001,7450
39,21971.336300000003,0.08342647646121751,22233.336300000003,21971.336300000003,51059.172600000005,6367
40,21928.745600000002,0.13427803364391602,21928.745600000002,21928.745600000002,51636.641200000005,6944.5
41,21904.305200000003,0.13427803364391602,21904.305200000003,21904.305200000003,51654.46040000001,6938
42,21923.4482,0.12125486654196113,21923.4482,21923.4482,51499.3964,6797.5
43,21815.794500000004,0.28421447055271515,21815.794500000004,21815.794500000004,51201.13900000001,6592
44,21823.7362,0.14345885640508527,21823.7362,21823.7362,51460.4724,6757
45,21836.148,0.14345885640508527,21836.148,21836.148,51237.39600000001,6853.5
46,21964.353000000003,0.13427803364391602,21964.353000000003,21964.353000000003,51821.10600000001,7112.5
47,21898.2969,0.12125486654196113,21898.2969,21898.2969,51108.44380000001,6480
48,21892.186,0.14345885640508527,21892.186,21892.186,51537.22200000001,6875
49,21921.9931,0.13427803364391602,21921.9931,21921.9931,50946.9362,7071.5
50,21904.997000000003,0.12125486654196113,21904.997000000003,21904.997000000003,51383.94400000001,7269
