Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,38146.79555,0.12125486654196113,38520.79555,38146.79555,48055.741100000014,8248.500000000007
2,37905.6995,0.12916057503074577,38210.6995,37905.6995,48249.49900000001,8233.000000000007
3,37832.7019,0.12125486654196113,37955.7019,37832.7019,48313.6538,8311.5
4,37923.2096,0.26632886769206693,38237.2096,37923.2096,48577.66920000001,8535.500000000007
5,37782.37895,0.1566860417906217,37997.87895,37782.37895,48631.3079,8743.5
6,37824.83415,0.12550524744990987,38079.83415,37824.83415,48818.36830000002,8795.000000000007
7,37932.2265,0.07040330935926263,38200.2265,37932.2265,48466.40299999999,8322.499999999993
8,37977.99355,0.14218374213270063,38340.99355,37977.99355,48539.5371,8495.5
9,37941.05735,0.12125486654196113,38002.55735,37941.05735,48309.56470000002,8248.500000000007
10,37911.27655,0.12916057503074577,38218.77655,37911.27655,48256.05310000001,8248.000000000007
11,37738.417050000004,0.1566860417906217,37976.417050000004,37738.417050000004,48487.58410000001,8628.5
12,37908.36455,0.14218374213270063,38177.86455,37908.36455,48646.0291,8532
13,38145.44545,0.12916057503074577,38479.94545,38145.44545,48459.240900000004,8194.5
14,37917.46085,0.12916057503074577,38256.46085,37917.46085,48772.72170000002,8697.000000000007
15,37867.7101,0.14218374213270063,38175.7101,37867.7101,48940.72019999998,8880.999999999993
16,37737.8985,0.1566860417906217,38010.3985,37737.8985,48560.447000000015,8768.500000000007
17,37730.1062,0.17950208650449045,38048.6062,37730.1062,48474.11240000001,8583.000000000007
18,37941.846,0.14218374213270063,38257.346,37941.846,48464.092,8488
19,37991.1373,0.12916057503074577,38261.6373,37991.1373,48189.02460000002,8158.500000000007
20,37902.6551,0.14218374213270063,38182.6551,37902.6551,48387.41020000001,8363.000000000007
21,37946.54045,0.14218374213270063,38197.04045,37946.54045,48481.7309,8573.5
22,37822.61425,0.07040330935926263,38129.61425,37822.61425,48537.678499999995,8504.5
23,37831.5589,0.12125486654196113,38200.5589,37831.5589,48388.96780000001,8417.500000000007
24,38040.978,0.14218374213270063,38306.478,38040.978,48530.506000000016,8770.500000000007
25,37680.7428,0.3276363619083193,37922.7428,37680.7428,48378.935600000004,8539.5
26,37894.8155,0.12125486654196113,38466.3155,37894.8155,48226.730999999985,8210.999999999993
27,37944.5302,0.12916057503074577,38236.5302,37944.5302,48242.41040000001,8226.5
28,37942.04295,0.14218374213270063,38240.04295,37942.04295,48412.83590000001,8408.500000000007
29,38071.12525,0.12916057503074577,38435.62525,38071.12525,48351.750499999995,8201
30,37836.3439,0.14218374213270063,38159.8439,37836.3439,48652.6378,8641.5
31,37751.8253,0.1566860417906217,38026.8253,37751.8253,48674.40059999999,8780.5
32,37834.93745,0.14218374213270063,38153.93745,37834.93745,48679.5249,8632.5
33,37827.51815,0.2211388178787561,37949.51815,37827.51815,48394.486300000004,8412.5
34,37838.90305,0.12125486654196113,38160.40305,37838.90305,48448.2561,8472.5
35,37943.1926,0.12125486654196113,38232.6926,37943.1926,48569.28520000001,8472.000000000007
36,37981.72015,0.12916057503074577,38245.72015,37981.72015,48089.04030000001,8432
37,37833.79365,0.12125486654196113,38071.29365,37833.79365,48537.937300000005,8548.5
38,37966.77495,0.12125486654196113,38295.27495,37966.77495,48177.4499,8378
39,37995.72875,0.14218374213270063,38234.22875,37995.72875,48187.35750000001,8496.000000000007
40,37870.23035,0.14218374213270063,37962.73035,37870.23035,48956.76069999999,8879.999999999993
41,37964.2498,0.12916057503074577,38293.2498,37964.2498,48314.8496,8324.5
42,37911.1801,0.08342647646121751,38230.6801,37911.1801,48455.1602,8336
43,37946.301699999996,0.26632886769206693,38252.301699999996,37946.301699999996,48696.353399999985,8624.499999999993
44,37948.23835,0.12125486654196113,38245.23835,37948.23835,47620.8767,8192
45,37726.4734,0.18897193516740018,37797.9734,37726.4734,49168.29680000001,9727.500000000007
46,37953.3098,0.12125486654196113,38256.3098,37953.3098,48364.019600000014,8570.000000000007
47,37846.52475,0.12125486654196113,38101.02475,37846.52475,48129.399499999985,8120.499999999993
48,38007.29865,0.16343564667244426,38258.29865,38007.29865,49654.947299999985,9860.499999999993
49,37906.3349,0.12125486654196113,38205.8349,37906.3349,48403.01980000001,8378.5
50,37823.6211,0.14218374213270063,38178.1211,37823.6211,48681.04219999999,8647.999999999993
