Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,37807.44,0.3544647661992917,37916.58,37807.44,47493.87,8560.279999999999
2,37857.971,0.07040330935926263,38147.471,37857.971,47611.02099999999,8593.999999999993
3,37810.005999999994,0.1566860417906217,37972.504499999995,37810.005999999994,47788.403000000006,8811.000000000007
4,38123.137,0.12916057503074577,38442.637,38123.137,47338.28700000001,8115.000000000007
5,38424.349,0.12125486654196113,38636.849,38424.349,47429.84900000002,7951.000000000007
6,37805.986000000004,0.1566860417906217,38097.4895,37805.986000000004,47465.193000000014,8578.500000000007
7,38416.709,0.12125486654196113,38768.209,38416.709,47180.309000000016,7685.500000000015
8,37805.577999999994,0.1566860417906217,37922.1835,37805.577999999994,47291.888999999996,8379
9,38156.997,0.14218374213270063,38453.997,38156.997,47765.496999999996,8522.499999999993
10,37806.35400000001,0.1566860417906217,37903.26550000001,37806.35400000001,47664.47700000001,8689.823
11,38418.023,0.12916057503074577,38745.523,38418.023,47783.723000000005,8273.5
12,37837.019,0.14218374213270063,38101.519,37837.019,47686.169,8694
13,38424.547,0.12916057503074577,38699.547,38424.547,47499.496999999996,8003
14,37907.602,0.14218374213270063,38165.102,37907.602,48066.051999999996,8946.5
15,38008.122,0.12916057503074577,38056.622,38008.122,47547.22200000001,8374
16,38526.204,0.12125486654196113,38908.204,38526.204,46915.304,7370.499999999993
17,37873.41,0.14218374213270063,38293.41,37873.41,47721.46000000002,8690.000000000015
18,38419.118,0.12916057503074577,38770.118,38419.118,47421.86800000002,7929.500000000007
19,38492.063,0.12125486654196113,38890.063,38492.063,47437.41300000001,7822.000000000007
20,37816.811,0.14218374213270063,38167.311,37816.811,47480.561,8515
21,38347.336,0.12916057503074577,38748.836,38347.336,47086.486000000004,7680
22,37804.71400000001,0.1566860417906217,37908.535500000005,37804.71400000001,46914.007000000005,8007.643
23,38419.052,0.12916057503074577,38814.052,38419.052,47610.85200000001,8091.000000000007
24,38535.331,0.12916057503074577,38945.831,38535.331,47140.380999999994,7507.5
25,37852.93,0.14218374213270063,38135.43,37852.93,48328.08,9250.5
26,37829.57,0.14218374213270063,38155.07,37829.57,47602.32000000001,8623
27,38171.482,0.12125486654196113,38504.982,38171.482,47444.732,8219.5
28,37806.005999999994,0.2205267630280115,37920.504499999995,37806.005999999994,48911.85299999999,9928.496999999988
29,37834.945,0.12125486654196113,38216.945,37834.945,47274.045,8314
30,38493.523,0.12916057503074577,38885.523,38493.523,47613.523,8048.5
31,37810.96400000001,0.22331501290362588,37847.723000000005,37810.96400000001,47363.63200000001,8394.517999999996
32,37807.123999999996,0.3752916326482404,37853.84299999999,37807.123999999996,47424.462,8506.437999999995
33,38377.709,0.12125486654196113,38628.209,38377.709,47192.409000000014,7737.500000000015
34,37805.33,0.1566860417906217,37892.9975,37805.33,47457.315,8541.335
35,38429.005,0.12916057503074577,38833.505,38429.005,47841.204999999994,8312.499999999993
36,37805.884000000005,0.16814506871845147,37909.913,37805.884000000005,47295.242,8376.557999999997
37,37808.71000000001,0.18897193516740018,37865.0325,37808.71000000001,47235.155000000006,8308.644999999997
38,37805.520000000004,0.18897193516740018,37852.14,37805.520000000004,47615.76,8652.739999999998
39,37809.008,0.1566860417906217,37859.256,37809.008,47740.804000000004,8738.996
40,37809.617,0.1566860417906217,37938.617,37809.617,47346.917,8387.5
41,38416.826,0.12916057503074577,38680.326,38416.826,47432.17600000001,7942
42,37960.139,0.12916057503074577,38341.139,37960.139,47292.13900000001,8332.500000000015
43,37901.393,0.12125486654196113,38140.893,37901.393,47552.49299999999,8486.499999999982
44,37953.625,0.12916057503074577,38289.125,37953.625,47128.975000000006,8149.5
45,37855.398,0.12125486654196113,38220.898,37855.398,47413.24800000001,8379.5
46,37805.58,0.1566860417906217,38106.185,37805.58,47623.240000000005,8747.21
47,37809.801999999996,0.18897193516740018,37838.3515,37809.801999999996,47300.801,8376.599000000002
48,37816.866,0.14218374213270063,38118.866,37816.866,47518.366,8595.499999999993
49,38208.349,0.12125486654196113,38641.849,38208.349,47318.699,8032.5
50,37876.301,0.14218374213270063,38211.301,37876.301,47778.901,8751.5
