Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1842.0295,0,3607.54425,1842.0295,4163.3126125,2.4999999999995453
2,1842.1861,0,3604.7791500000003,1842.1861,1870.7861,0
3,1842.7206,0,3607.0809,1842.7206,4167.768765,6.499999999999545
4,1847.9809,0,3046.97135,1847.9809,1876.0309000000002,0
5,1843.203,0,3606.3045,1843.203,4160.958825000001,0.5
6,1844.8029999999999,0,7655.7045,1844.8029999999999,3429.750325,1
7,1852.3808,0,4659.5712,1852.3808,4720.5712,12
8,1841.3037,0,3606.4555499999997,1841.3037,4709.45555,3
9,1846.4875000000002,0,3053.7312500000003,1846.4875000000002,4263.4312500000015,5
10,1851.8726000000001,0,3608.8089,1851.8726000000001,4709.8089,1
11,1842.255,0,3607.8824999999997,1842.255,4161.400125,0.5
12,1841.3826,0,3606.5738999999994,1841.3826,3721.5739,2.5
13,1846.2577,0,3607.88655,1846.2577,1873.7577,0
14,1844.5073000000002,0,3605.26095,1844.5073000000002,3720.26095,2.5
15,1845.4720000000002,0,3606.7080000000005,1845.4720000000002,4168.801800000001,6.5
16,1843.8231,0,3757.2346500000003,1843.8231,4714.584650000001,7.5
17,1843.8658,0,3604.2987000000003,1843.8658,3716.2987000000007,1
18,1845.2073999999998,0,3606.3111,1845.2073999999998,3736.3111,10
19,1845.8074000000001,0,3054.2111,1845.8074000000001,4594.0111,5
20,1844.0178999999998,0,3051.0268499999997,1844.0178999999998,1858.8679,0
21,1858.3345,0,3605.0017499999994,1858.3345,1899.0345000000002,0
22,1846.8791,0,3607.31865,1846.8791,4710.6686500000005,3.5
23,1848.0385999999999,0,3607.5579,1848.0385999999999,1875.5385999999999,0
24,1845.6705000000002,0,4658.50575,1845.6705000000002,4724.855750000001,16.5
25,1843.9149000000002,0,3605.8723499999996,1843.9149000000002,4713.47235,7
26,1846.5625,0,3606.84375,1846.5625,4715.993750000001,8.5
27,1841.7935000000002,0,3607.1902499999997,1841.7935000000002,1867.6435000000004,0
28,1849.2502,0,3046.3752999999997,1849.2502,3691.269005,1
29,1850.5488,0,3605.3232,1850.5488,4164.274719999999,0.9999999999995453
30,1848.7440000000001,0,4508.616,1848.7440000000001,4714.516,6
31,1845.6203999999998,0,3906.9305999999997,1845.6203999999998,3727.9305999999997,5.5
32,1848.0050999999999,0,3052.00765,1848.0050999999999,4266.957649999999,9.5
33,1842.6616,0,3606.9924,1842.6616,4161.64354,1
34,1847.6111999999998,0,3608.4168,1847.6111999999998,4718.9168,10
35,1842.8084,0,3046.7126,1842.8084,3690.20571,2.5
36,1847.1426999999999,0,3813.2853999999998,1847.1426999999999,4717.26405,10.499999999999545
37,1848.8966999999998,0,3056.84505,1848.8966999999998,1892.8466999999998,0
38,1846.3977,0,3051.59655,1846.3977,4267.696550000001,12
39,1842.5774999999999,0,3605.36625,1842.5774999999999,4162.361312500001,2.5000000000004547
40,1849.0164,0,3609.0245999999997,1849.0164,4718.5746,9.5
41,1842.6981999999998,0,3052.5472999999997,1842.6981999999998,1871.2982,0
42,1841.4695000000002,0,3049.2042500000002,1841.4695000000002,4020.4236125000007,2
43,1842.6790999999998,0,3605.51865,1842.6790999999998,4160.8408524999995,1
44,1846.0891000000001,0,3358.13365,1846.0891000000001,3440.2581525000005,0.5
45,1844.1027,0,3757.65405,1844.1027,3738.65405,10.5
46,1848.5049,0,3606.75735,1848.5049,3718.75735,1
47,1845.6677,0,3607.00155,1845.6677,4164.6513175,2.5
48,1850.3568,0,3906.5352000000003,1850.3568,3732.5352000000003,8
49,1846.3237,0,4657.985549999999,1846.3237,3739.9855499999994,11
50,1848.2999,0,3756.44985,1848.2999,3735.44985,9.5
