Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1309.4499815103302,0,131730.04169999989,1255.65655,4578.2676525,599.9999999999999
2,1364.9256960099572,0,131880.05970000016,1256.5506,4825.851200000001,807.5
3,1320.3832855043313,0,131755.29049999997,1248.301,1990.051,645.5
4,1300.4541534118373,0,131886.3736500001,1244.8567,4405.827885000001,273.5
5,1400.1809338643864,0,131751.91019999993,1247.4323,1594.5323,244
6,1258.620995491734,0,131726.04130000004,1241.7367,1945.1867,606.5
7,1504.8408485789764,0,131782.4880999999,1252.23765,4472.6183575000005,338.5
8,1322.4824377837188,0,131776.19959999988,1264.82465,1610.72465,250
9,1484.1420477673778,0,131902.80122499994,1259.75005,1867.3500500000002,455
10,1351.9496944090208,0,131946.6820250001,1245.10845,4399.4180975,243.5
11,1471.8193510585156,0,131821.4920000002,1250.38625,1823.78625,426
12,1296.612700433231,0,131887.19485000015,1248.9723,1596.0723,252
13,1356.9091289888875,0,131765.5897999999,1254.5302,1576.5801999999999,221.49999999999977
14,1284.7042394873758,0,131736.63159999982,1254.98615,5106.9723,662
15,1323.4302370577861,0,131920.96295000013,1250.1651,1552.4651,198
16,1367.6418189021294,0,131881.1118750001,1255.82175,1595.9717500000002,239.5
17,1377.1741860106142,0,131888.22472499998,1246.57205,1597.22205,257.5
18,1352.3216040010745,0,131764.89579999988,1248.27095,4631.0199725,711
19,1288.703748242252,0,131771.40810000012,1252.43415,1965.3841500000003,612.5
20,1344.9056614892602,0,131776.43600000002,1253.69175,4840.3835,629
21,1292.3952099435583,0,131750.86609999998,1259.5959,4432.173645000001,259
22,1263.3407477695864,0,131748.61930000002,1258.8122,2023.9622000000004,666.5000000000001
23,1442.449841780957,0,131821.9739000001,1248.88685,5102.773700000001,448.5000000000002
24,1359.2833899868806,0,131869.72392499994,1255.26165,1590.8616499999998,233
25,1248.0315154680372,0,131777.228,1246.25575,5156.5115000000005,219.5
26,1337.8386999307495,0,131889.921525,1253.62045,1601.67045,248.5
27,1321.722600206433,0,131785.15629999992,1241.8552,5125.7104,268.5
28,1369.5513711775898,0,131963.072375,1256.65175,3340.3035,301
29,1365.9410856834843,0,131730.17630000008,1254.2307,4425.357585000001,255
30,1362.3472993330095,0,131768.25600000005,1244.476,5135.402000000001,309.5
31,1324.1434884915657,0,131757.02889999992,1252.04185,2014.4418500000002,666
32,1287.0399515001263,0,131743.9516999999,1242.71455,2045.7145499999997,701.9999999999999
33,1402.8841902672082,0,131762.54189999992,1246.48085,5113.9617,815
34,1410.1683668973656,0,131741.37480000017,1251.2442,1642.6442000000002,294
35,1309.1245647601531,0,131757.72509999992,1247.3829,1935.5829,590
36,1402.6445920648086,0,131883.71687499998,1264.36275,4831.3755,258.5
37,1341.4060787408491,0,131762.57689999993,1244.88335,2042.9833500000002,693
38,1280.3190354969267,0,131749.8741999999,1246.93555,2005.6855499999997,659.4999999999999
39,1357.184578505201,0,131727.03020000004,1244.0263,2147.1263,756
40,1350.5513479447477,0,131734.34870000015,1255.4273,5119.154600000001,298
41,1356.7473455023296,0,131742.4154000001,1259.46235,4617.5666425,667.9999999999999
42,1265.7975747279454,0,131749.7587000001,1256.15655,1972.85655,617.9999999999999
43,1375.466412673985,0,131917.74964999987,1265.0567,4407.387885,244
44,1379.757426792801,0,131798.4193000001,1250.44395,1627.8439500000004,275.0000000000002
45,1267.870812239519,0,131748.5473,1251.1592,4598.446760000001,646.5
46,1318.433204744952,0,131885.82475000012,1254.3465,1903.3965,552.5
47,1439.9382678999739,0,131781.50360000008,1251.1099,1821.4099,421
48,1407.0586139377497,0,131913.68507500013,1255.21135,4828.822700000001,244
49,1567.5573758400408,0,131739.74170000013,1256.03405,5094.0681,422.5
50,1469.6404144408496,0,131916.23169999995,1250.6446,1868.0446000000002,467
