Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,3402.6429,0,4160.625075,3402.6429,4428.896495000001,15.500000000000455
2,1519.6261,0,4156.6260999999995,1519.6261,4265.176100000001,24
3,1510.4072,0,4188.212600000001,1510.4072,3576.9811600000003,23.5
4,1510.0129000000002,0,4108.0129,1510.0129000000002,3390.4629000000004,10.5
5,1513.7642999999998,0,4963.7643,1513.7642999999998,4334.984665000002,34.500000000000455
6,1508.5407,0,4193.9462250000015,1508.5407,4443.238085,24.5
7,1508.462,0,4103.462000000001,1508.462,3385.612,9
8,1537.9678,0,4155.943649999999,1537.9678,3587.2500900000005,22
9,1513.7707999999998,0,4663.7708,1513.7707999999998,4426.7708,69
10,1508.8195999999998,0,4282.934300000001,1508.8195999999998,3533.820380000001,11.500000000000455
11,1514.8235,0,4165.8235,1514.8235,4279.8735,36
12,1508.2125,0,4138.2125,1508.2125,3398.5625,18.5
13,1509.5306,0,4106.5306,1509.5306,3391.0806000000002,12
14,1511.2352999999998,0,4279.661775,1511.2352999999998,3581.0147150000003,26
15,1515.1515,0,4141.1515,1515.1515,3404.9515,18
16,1508.4735,0,4155.4735,1508.4735,4317.7735,32
17,1508.7397,0,4159.294475000001,1508.7397,4417.346535000001,15
18,3401.3093,0,4286.291275,3401.3093,4433.829415,19
19,1512.9589,0,4286.678075,1512.9589,4499.086295,53.5
20,1512.2929,0,4099.2929,1512.2929,3381.7429000000006,6
21,1512.7932999999998,0,4164.388274999999,1512.7932999999998,4331.579615,33.999999999999545
22,2803.7599,0,4266.579825000001,2803.7599,4118.677845,10.499999999999545
23,1515.4567000000002,0,4342.049225000001,1515.4567000000002,4461.957885000002,28.500000000000455
24,1520.6761999999999,0,4120.6762,1520.6761999999999,3396.1762000000003,5
25,1515.7826,0,4212.619549999999,1515.7826,4467.06303,33.5
26,1513.2006000000001,0,4063.2006,1513.2006000000001,4076.4506000000006,24.5
27,1519.0403999999999,0,4069.0404,1519.0403999999999,4234.8904,54.5
28,1510.2404999999999,0,4277.920875,1510.2404999999999,3532.172775,8
29,3408.4618,0,4292.558150000001,3408.4618,4392.66579,12.499999999999545
30,1512.2492000000002,0,5262.2492,1512.2492000000002,3388.2992000000004,7
31,1511.3341,0,4061.3341,1511.3341,3360.4341000000004,12
32,1509.2875,0,4094.2875000000004,1509.2875,3378.7375,7
33,1512.8988,0,4161.898799999999,1512.8988,4269.3488,29
34,1512.0907000000002,0,4156.0907,1512.0907000000002,4271.2407,33.5
35,1514.5153,0,4349.901775,1514.5153,4464.348715,27.500000000000455
36,1514.2633,0,4387.9607750000005,1514.2633,4574.0081150000005,71.5
37,1513.52,0,4105.52,1513.52,3387.370000000001,7.5
38,1511.1801999999998,0,4173.1802,1511.1801999999998,4283.3802,38
39,2769.5767,0,4063.5766999999996,2769.5767,4072.7767000000003,18
40,1511.8247000000001,0,4061.8247,1511.8247000000001,3358.7247000000007,15.5
41,1509.0901,0,4172.0901,1509.0901,4276.240100000001,33
42,1510.1734999999999,0,4060.1735,1510.1734999999999,4077.6735,28
43,1509.9784,0,4147.9784,1509.9784,4264.7784,32
44,1513.4395,0,4155.439499999999,1513.4395,4263.989500000001,26.5
45,1516.3456999999999,0,4209.3457,1516.3456999999999,4377.3457,68
46,3364.3431,0,4114.3431,3364.3431,4228.9431,12
47,1511.6660000000002,0,4151.666,1511.6660000000002,4265.166000000001,30
48,1514.4499999999998,0,4103.45,1514.4499999999998,3389.9500000000003,10.5
49,1510.2345,0,4109.234499999999,1510.2345,3392.8845000000006,12
50,1511.7073999999998,0,4335.98795,1511.7073999999998,4459.896470000001,31.500000000000455
