Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1512.2849,0,4199.2849,1512.2849,4354.0349,66
2,1515.2359000000001,0,4372.8538499999995,1515.2359000000001,4264.4859,24.5
3,1516.9540000000002,0,4066.9539999999997,1516.9540000000002,4081.704,25.5
4,1507.4863999999998,0,4097.4864,1507.4863999999998,3375.8364,3.5
5,1512.4409999999998,0,4167.441,1512.4409999999998,4270.491,28
6,1509.9612000000002,0,4149.4321,1509.9612000000002,3571.88986,19.5
7,1505.6669000000002,0,4358.50035,1505.6669000000002,3353.1169000000004,16
8,1506.1832,0,4535.866399999999,1506.1832,3523.1339599999997,5.5
9,1506.2919000000002,0,4275.510825,1506.2919000000002,3528.8024450000007,10.5
10,1513.9171000000001,0,4218.9171,1513.9171000000001,4337.917100000001,67.5
11,1510.0504,0,4163.0504,1510.0504,4273.250400000001,33.5
12,1508.5647,0,4538.1294,1508.5647,4441.625285000001,23
13,1507.5335,0,5257.5335,1507.5335,4220.5335,19
14,1508.5027,0,4146.5027,1508.5027,4253.402700000001,23
15,1509.7620000000002,0,4364.643,1509.7620000000002,3380.312,3
16,1508.7827000000002,0,4207.3697250000005,1508.7827000000002,4453.863185,28.5
17,1508.3357999999998,0,4165.3358,1508.3357999999998,4272.7858,33
18,1509.4413,0,4364.16195,1509.4413,3359.0913,18.5
19,1518.7435999999998,0,4518.7436,1518.7435999999998,4321.643599999999,56.5
20,1507.1894000000002,0,4057.1894,1507.1894000000002,3352.9894000000004,15.5
21,1508.7982000000002,0,4058.7982,1508.7982000000002,3360.6482000000005,18.5
22,1513.0102000000002,0,4063.0101999999997,1513.0102000000002,3358.2602000000006,12
23,1511.3795,0,4156.414125,1511.3795,3577.9382250000003,23.000000000000455
24,1508.0279,0,4164.0279,1508.0279,4271.477900000001,32.5
25,1508.8676,0,4363.3014,1508.8676,4250.9176,20
26,1506.5898000000002,0,4157.5898,1506.5898000000002,4264.4898,29.5
27,1506.6419999999998,0,4099.642,1506.6419999999998,3378.292,5
28,1507.0722,0,4226.072199999999,1507.0722,4341.2222,71
29,1504.4704000000002,0,4150.4704,1504.4704000000002,4253.520400000001,23.5
30,1507.6992,0,4153.6992,1507.6992,4267.199199999999,33
31,1509.6903000000002,0,4364.53545,1509.6903000000002,3406.0903000000003,24
32,1543.5949999999998,0,4147.04125,1543.5949999999998,3575.6222499999994,14.499999999999545
33,1510.6266999999998,0,4142.6267,1510.6266999999998,4255.5767,25.5
34,1508.9092999999998,0,5258.909299999999,1508.9092999999998,4252.1093,23.5
35,1508.7858,0,4160.7858,1508.7858,4269.8858,32
36,1511.6323000000002,0,4367.44845,1511.6323000000002,4246.232300000001,16.5
37,1517.2566000000002,0,4517.2566,1517.2566000000002,4326.256600000001,42
38,1506.7159000000001,0,4956.715899999999,1506.7159000000001,4453.309645,30.5
39,1505.5778,0,4135.5778,1505.5778,3399.7778,22
40,1507.4694,0,4147.0714499999995,1507.4694,4302.377570000001,21.5
41,1507.5700000000002,0,4327.7475,1507.5700000000002,4445.583500000001,23.5
42,1506.6322,0,4056.6322,1506.6322,3352.4322,13.5
43,1508.6212,0,4102.621200000001,1508.6212,3386.3212,10
44,1508.3111,0,4538.622200000001,1508.3111,4460.682205000001,32.5
45,1509.5376999999999,0,4218.690975,1509.5376999999999,4460.0834350000005,29
46,1511.6156999999998,0,4248.327475,1511.6156999999998,4554.254335,63
47,1506.4517999999998,0,4147.4518,1506.4517999999998,4250.5018,21
48,1506.9786,0,4056.9786000000004,1506.9786,3356.0786000000003,15.5
49,1505.7480999999998,0,4095.7481,1505.7480999999998,3379.0481,8
50,1513.167,0,4145.167,1513.167,4250.417,18.5
