Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,3366.1514,0,131903.5504000001,3366.1514,3366.1514000000006,0
2,3380.2233,0,131899.7869249999,3380.2233,3380.2233000000006,0
3,3376.2964,0,131902.06640000007,3376.2964,3376.2964,0
4,3356.4168,0,132083.82054999995,3356.4168,3356.4168,0
5,3355.7719,0,131895.71627499996,3355.7719,3355.7719000000006,0
6,3365.6092,0,131888.40245000005,3365.6092,3365.6092,0
7,3383.3679,0,132065.014775,3383.3679,3383.3679,0
8,3376.5701,0,131965.361225,3376.5701,3376.5701,0
9,3383.7802,0,131902.4167,3383.7802,7013.719755,2
10,3373.0996,0,132196.80785000013,3373.0996,7076.001990000001,24.5
11,3377.4681,0,132185.8719749999,3377.4681,3377.4681,0
12,3381.4599,0,131899.43802500016,3381.4599,3381.4599,0
13,3358.0032,0,132046.86870000005,3358.0032,3358.0032,0
14,3371.1494,0,131879.8103999999,3371.1494,3371.1494000000002,0
15,3358.0112,0,131905.07320000007,3358.0112,3358.0112,0
16,3358.9366,0,131895.8555999999,3358.9366,3358.9366,0
17,3368.7088,0,131910.93405000019,3368.7088,3368.7088000000003,0
18,3373.8336,0,131898.02310000017,3373.8336,3373.8336,0
19,3361.8211,0,131905.93197499993,3361.8211,3361.8211,0
20,3365.0065,0,131904.45237499982,3365.0065,3365.0065000000004,0
21,3383.0835,0,131901.84962499997,3383.0835,3383.0835000000006,0
22,3376.7844,0,132123.9581499999,3376.7844,3376.7844,0
23,3368.3967,0,131886.90457500005,3368.3967,3368.3967000000002,0
24,3367.3197,0,131898.9945749999,3367.3197,3367.3197,0
25,3372.1523,0,131906.87617499987,3372.1523,3372.1523000000007,0
26,3389.8417,0,131983.1623250001,3389.8417,3389.8417,0
27,3371.0555,0,132089.71762500005,3371.0555,7004.370762500001,1.5
28,3358.6198,0,131895.29830000002,3358.6198,3358.6198,0
29,3359.5795,0,132097.94162500012,3359.5795,3359.5795,0
30,3380.2888,0,131896.02454999991,3380.2888,3380.2888000000003,0
31,3362.1992,0,131898.86120000004,3362.1992,3362.1992,0
32,3373.321,0,132251.1590000001,3373.321,3373.321,0
33,3376.1949,0,132121.81252500013,3376.1949,3376.1949000000004,0
34,3371.8046,0,132159.53085000007,3371.8046,3371.8046000000004,0
35,3364.0871,0,131928.37597500003,3364.0871,6999.6110525,7.5
36,3367.0871,0,131948.2271999999,3367.0871,3367.0871000000006,0
37,3384.0034,0,131941.57390000008,3384.0034,3384.0034,0
38,3363.6157,0,132203.9758250001,3363.6157,3363.6157,0
39,3366.3085,0,132071.2323749998,3366.3085,3366.3085,0
40,3382.126,0,131924.5729999999,3382.126,3382.126,0
41,3374.6642,0,132126.83494999993,3374.6642,3374.6642,0
42,3368.8322,0,131900.0349499998,3368.8322,3368.8322,0
43,3354.8928,0,132160.09430000006,3354.8928,3354.8928000000005,0
44,3378.1548,0,132024.42704999985,3378.1548,3378.1548000000003,0
45,3376.0063,0,132222.49092500014,3376.0063,3376.0063,0
46,3369.3476,0,132083.58509999997,3369.3476,3369.3476,0
47,3367.8741,0,132123.69022499997,3367.8741,3367.8741,0
48,3373.699,0,132093.8409999999,3373.699,3373.699,0
49,3363.3046,0,132092.73610000004,3363.3046,3363.3046,0
50,3373.6902,0,131899.3927000001,3373.6902,3373.6902,0
