Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1285.83375,0,22514.371,1285.83375,3443.3923125,3
2,1277.21525,0,22510.279999999995,1277.21525,4332.4305,43
3,1286.908,0,22515.115499999993,1286.908,4291.516,82
4,1274.4435,0,22510.51599999999,1274.4435,4275.037,78.5
5,1284.89595,0,22214.851550000007,1284.89595,3947.0419000000006,6.5
6,1288.3319,0,22520.324999999993,1288.3319,3451.114445,2
7,1281.9659,0,22521.844000000016,1281.9659,3443.447145,6
8,1266.34115,0,22518.128999999994,1266.34115,4746.023450000001,92
9,1276.5085,0,22511.929500000013,1276.5085,4253.267,8
10,1286.2131,0,22514.926500000012,1286.2131,4256.876200000001,7
11,1281.3236,0,22517.637999999984,1281.3236,4256.7472,78.5
12,1290.8017,0,22517.774500000007,1290.8017,3491.392635,62.5
13,1285.237,0,22521.08499999999,1285.237,4225.474,1
14,1297.64465,0,22520.03649999999,1297.64465,4791.933950000001,42.5
15,1284.8404,0,22509.9405,1284.8404,4261.630800000001,95
16,1289.72785,0,22516.05649999999,1289.72785,4262.1557,9
17,1282.8045,0,22518.026499999993,1282.8045,4297.709000000001,99
18,1290.9877,0,22211.4418,1290.9877,4312.0754,16.5
19,1271.816,0,22517.22599999999,1271.816,3442.5648,9
20,1279.1859,0,22511.527999999988,1279.1859,4262.121800000001,57
21,1286.3677,0,22510.672499999986,1286.3677,4297.8854,87.5
22,1291.39405,0,22518.799000000003,1291.39405,4261.6881,8
23,1280.7384,0,22516.26950000001,1280.7384,4228.4768,97
24,1273.8054,0,22511.197999999993,1273.8054,4248.7608,5
25,1281.64825,0,22511.956000000002,1281.64825,3483.3047875,57.5
26,1285.7496,0,22222.055400000005,1285.7496,3962.0492000000004,10.5
27,1268.2605,0,22514.7685,1268.2605,3485.1537750000007,71.5
28,1288.4276,0,22513.62599999999,1288.4276,3452.9127800000006,8.5
29,1283.23495,0,22513.643000000004,1283.23495,1315.6849500000003,0
30,1296.7738,0,22514.22300000001,1296.7738,4246.4476,5
31,1284.4126,0,22510.408,1284.4126,4245.975200000001,75
32,1279.2675,0,22518.781,1279.2675,4257.485,83.5
33,1275.7553,0,22509.9075,1275.7553,4279.5106,90
34,1288.4708,0,22517.508500000014,1288.4708,1288.4708,0
35,1274.8614,0,22509.3925,1274.8614,4291.8728,7
36,1280.54605,0,22509.21550000001,1280.54605,4313.8921,55.5
37,1276.63165,0,22516.1295,1276.63165,4259.5133000000005,9
38,1280.59575,0,22511.74999999998,1280.59575,3446.8234125000004,8.5
39,1284.164,0,22514.142999999993,1284.164,4260.728,14
40,1313.99775,0,22524.79399999999,1313.99775,4314.0455,13
41,1292.78665,0,22516.90199999999,1292.78665,3456.3693075000006,6
42,1287.58535,0,22516.700500000003,1287.58535,4268.770700000001,82
43,1278.73715,0,22518.516999999993,1278.73715,4221.4743,86.5
44,1285.7602,0,22516.30100000001,1285.7602,4260.1704,103
45,1273.78675,0,22510.77600000001,1273.78675,3439.5694625000006,3
46,1273.7731,0,22521.107,1273.7731,4305.9462,16
47,1285.08355,0,22510.217500000002,1285.08355,3445.529502500001,6.5
48,1285.22925,0,22510.95299999999,1285.22925,4299.008500000001,9.5
49,1274.8897,0,22514.760999999988,1274.8897,4274.6794,88
50,1279.39625,0,22513.33349999999,1279.39625,4253.9925,84.5
