Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1514.0994,0,4064.0994,1514.0994,4232.099400000001,36
2,1520.2224,0,4296.278,1520.2224,3404.64468,6.5
3,3387.1847,0,4137.1847,3387.1847,4295.1847,30.5
4,1512.5086000000001,0,4191.6357499999995,1512.5086000000001,4308.53833,48.5
5,1510.7484,0,4186.4355,1510.7484,4301.060020000001,56
6,1514.6758,0,4111.6758,1514.6758,3398.9758,14.5
7,1510.6179000000002,0,4184.2723750000005,1510.6179000000002,4295.007745000001,37.5
8,1512.2727,0,4062.2726999999995,1512.2727,3367.9727,12
9,1516.8073,0,4110.8073,1516.8073,3395.6073000000006,11
10,1521.3845000000001,0,3990.3845,1521.3845000000001,4307.3845,30.5
11,1511.9897999999998,0,4047.48725,1511.9897999999998,4308.58419,45
12,1509.5508,0,4059.5508,1509.5508,3360.3008000000004,7.5
13,1511.9422,0,4164.9421999999995,1511.9422,4277.8922,36
14,1510.4034000000001,0,4132.105100000001,1510.4034000000001,3400.534505000001,24
15,1512.7988999999998,0,4109.7989,1512.7988999999998,3393.7989000000002,11.5
16,1509.5895,0,4185.4868750000005,1509.5895,4295.313725,51
17,1510.1106,0,4160.1106,1510.1106,4265.3606,27.5
18,1509.8042999999998,0,4128.20645,1509.8042999999998,3389.596665,11
19,1511.0616,0,4115.0616,1511.0616,4278.0616,21
20,1511.2944000000002,0,4156.294400000001,1511.2944000000002,4267.044400000001,30
21,1511.6217000000001,0,4061.6217000000006,1511.6217000000001,4083.8717000000006,33.5
22,1511.1873,0,4336.484125,1511.1873,4303.940315,55
23,1512.134,0,4062.134,1512.134,3362.3340000000003,7
24,1512.2484,0,4184.3105,1512.2484,4296.73502,43
25,1511.9216999999999,0,4165.9217,1511.9216999999999,4108.921700000001,32
26,1509.5301,0,4130.912625,1509.5301,3396.871655,15
27,1509.9110999999998,0,4106.9111,1509.9110999999998,3388.7111000000004,9.5
28,1509.0911,0,3970.0910999999996,1509.0911,4279.091100000001,22.5
29,1516.4017,0,4140.002125,1516.4017,3408.2822525,17.5
30,1512.2003,0,4088.250375,1512.2003,4106.660465000001,34.5
31,1510.6839,0,4090.02585,1510.6839,3365.1100450000004,9.5
32,1510.6985,0,4181.6985,1510.6985,4290.798500000001,41.5
33,1508.1758,0,4083.2636999999995,1508.1758,3368.6329349999996,12
34,1511.8712999999998,0,4135.806949999999,1511.8712999999998,3393.9005149999994,10.032175000000052
35,1508.5344,0,4508.5344000000005,1508.5344,3390.0844000000006,10.5
36,1512.3473,0,4105.347299999999,1512.3473,3225.0473000000006,10.5
37,1514.6453999999999,0,4404.9681,1514.6453999999999,4327.9503700000005,46
38,1511.3494,0,4103.3494,1511.3494,3386.2994000000003,8.5
39,1510.1182,0,3959.1182,1510.1182,4101.1182,16
40,1517.2349,0,4067.2349,1517.2349,4089.9349,40.38255000000004
41,1509.1549,0,4179.943625,1509.1549,4287.540095,44
42,1509.3363,0,4106.3363,1509.3363,3389.2363000000005,10.5
43,1508.5637000000002,0,4184.204625,1508.5637000000002,4295.7237350000005,41
44,1512.3582000000001,0,4392.0373,1512.3582000000001,3394.724615,9
45,1509.6993000000002,0,4131.04895,1509.6993000000002,3390.5339150000004,11
46,1511.2154,0,4061.2154,1511.2154,4224.2154,55
47,1510.1640000000002,0,4184.705,1510.1640000000002,4291.0042,48.5
48,1510.7514,0,4233.939249999999,1510.7514,3370.71467,18
49,1511.2979,0,4104.2979,1511.2979,3384.0478999999996,6
50,1510.7824999999998,0,4157.782499999999,1510.7824999999998,4266.3325,29
