Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1519.8444,0,4519.8444,1519.8444,4286.8444,21
2,1509.2813,0,4179.101625,1509.2813,4290.4860149999995,30.5
3,1511.4913999999999,0,4156.4914,1511.4913999999999,4102.7914,30.5
4,1514.2628,0,4088.3285,1514.2628,4105.957340000001,26
5,1508.9178000000002,0,4532.4178,1508.9178000000002,3385.5178000000005,7.5
6,1506.3899000000001,0,4359.58485,1506.3899000000001,3384.6399,9
7,1511.0707000000002,0,4366.60605,1511.0707000000002,4227.220700000001,12
8,1510.4448000000002,0,4365.6672,1510.4448000000002,3363.9448,10
9,1508.7486,0,4182.7486,1508.7486,4127.9486,44
10,1517.4777,0,4092.847125,1517.4777,4258.990435000001,22
11,1510.0821999999998,0,4390.6644,1510.0821999999998,3392.2274099999995,10
12,1510.7786999999998,0,4046.9733749999996,1510.7786999999998,4310.006984999999,40
13,1511.4472999999998,0,4061.4473,1511.4472999999998,4078.7973,28.5
14,1510.2475,0,4365.37125,1510.2475,3387.3975,7
15,1511.8606,0,4106.8606,1511.8606,3386.2606,6.5
16,1509.7096999999999,0,3968.7097000000003,1509.7096999999999,4063.3597000000004,11
17,1509.4998,0,4531.9998,1509.4998,3386.6497999999997,9
18,3391.1922000000004,0,4363.7883,3391.1922000000004,4296.1921999999995,31
19,1509.5148,0,4059.5148,1509.5148,3367.9648,28
20,3403.3764,0,4367.0646,3403.3764,4271.276400000001,35
21,1510.8456,0,4534.3456,1510.8456,3389.6456000000003,9.5
22,1508.1822000000002,0,4099.1822,1508.1822000000002,3384.2322000000004,10
23,1507.4542000000001,0,4004.4542,1507.4542000000001,4260.2542,26.5
24,1507.6266,0,4361.439899999999,1507.6266,3384.7766,9
25,1507.9198999999999,0,4126.9199,1507.9198999999999,3237.1199,22
26,1512.1504,0,4157.1504,1512.1504,4356.1504,59.5
27,1509.7262999999998,0,4364.58945,1509.7262999999998,3380.8263,5
28,1509.8392,0,4122.8392,1509.8392,4119.8392,25
29,3428.8863999999994,0,4390.272800000001,3428.8863999999994,4271.423920000001,20.5
30,3396.9209,0,4363.38135,3396.9209,4255.4709,24.5
31,1509.2294000000002,0,4160.2294,1509.2294000000002,4270.979400000001,33
32,3432.8609000000006,0,4391.721799999999,3432.8609000000006,4282.534395,29
33,1510.3177999999998,0,4060.3178,1510.3177999999998,3365.4678,26.5
34,1511.3996000000002,0,4367.0994,1511.3996000000002,3377.5496000000003,3
35,1507.0079999999998,0,4124.512,1507.0079999999998,3386.9124,9
36,1511.0602,0,3951.0602,1511.0602,4122.0602,30.5
37,1515.9463999999998,0,4158.432999999999,1515.9463999999998,4275.1169199999995,19
38,1512.855,0,4107.855,1512.855,4413.855,90.5
39,1513.3231,0,4669.984649999999,1513.3231,3368.4730999999992,11.5
40,1507.525,0,4361.2875,1507.525,2517.875,0
41,1511.5708,0,4164.5707999999995,1511.5708,4279.1708,37.5
42,1509.8184999999999,0,4391.637000000001,1509.8184999999999,4312.018675,29
43,1507.1504,0,4360.7256,1507.1504,3382.6504000000004,8.5
44,3386.6729000000005,0,4363.00935,3386.6729000000005,4247.4229000000005,21.5
45,3395.3854,0,4364.0781,3395.3854,4254.4854000000005,24
46,1508.0879,0,4081.109875,1508.0879,4236.436245000001,27
47,1508.2458000000001,0,4172.245800000001,1508.2458000000001,4279.1458,36
48,1508.3494,0,4362.5241000000005,1508.3494,3366.2494000000006,14
49,1513.0488999999998,0,4164.0489,1513.0488999999998,4270.3989,29
50,1508.6792,0,4058.6792000000005,1508.6792,3362.7292,10.5
