Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,3354.0368,0,22857.035399999997,3354.0368,3354.0368,0
2,3371.2388,0,22825.14689999999,3371.2388,3371.2388,0
3,3365.1049000000003,0,22834.221950000014,3365.1049000000003,3365.1049000000003,0
4,3373.1513,0,22817.636649999997,3373.1513,3373.1513000000004,0
5,3365.7619999999997,0,22819.875999999993,3365.7619999999997,3365.7619999999997,0
6,3351.6977,0,22830.48784999999,3351.6977,3351.6977000000006,0
7,3363.9112,0,22818.349599999998,3363.9112,3363.9112000000005,0
8,3360.8397999999997,0,22818.909899999984,3360.8397999999997,3360.8397999999997,0
9,3376.7145,0,22822.043249999988,3376.7145,3376.7145,0
10,3357.0612,0,22821.899099999995,3357.0612,3357.0612,0
11,3367.9484,0,22830.875700000008,3367.9484,5439.9484,21
12,3357.9737999999998,0,22822.673399999985,3357.9737999999998,3357.9737999999998,0
13,3366.7232000000004,0,22825.519600000003,3366.7232000000004,5444.7232,24
14,3386.9042,0,22868.55109999999,3386.9042,3386.9042,0
15,3320.8891000000003,0,22841.090550000004,3320.8891000000003,3320.8891000000003,0
16,3357.956,0,22821.021,3357.956,3357.956,0
17,3364.3372,0,22830.49409999999,3364.3372,3364.3372,0
18,3355.5656,0,22829.53830000001,3355.5656,3355.5656,0
19,3364.2055,0,22829.915749999993,3364.2055,3364.2055,0
20,3367.4464,0,22843.63969999999,3367.4464,3367.4464,0
21,3367.9793,0,22822.17165000001,3367.9793,3367.9793,0
22,3360.2357,0,22819.552849999993,3360.2357,3360.2357,0
23,3374.9052000000006,0,22831.1901,3374.9052000000006,3374.905200000001,0
24,3369.2352,0,22828.436100000006,3369.2352,3369.2352,0
25,3364.4687000000004,0,22819.138349999987,3364.4687000000004,3364.4687000000004,0
26,3362.1363,0,22816.805150000004,3362.1363,3362.1363,0
27,3357.6760999999997,0,22817.093050000003,3357.6760999999997,3357.6760999999997,0
28,3360.4665999999997,0,22822.106800000005,3360.4665999999997,3360.4665999999997,0
29,3359.1229,0,22826.605949999994,3359.1229,3359.1229000000003,0
30,3363.7073,0,22830.86814999999,3363.7073,3363.7073,0
31,3363.1378,0,22818.269899999996,3363.1378,3363.1378000000004,0
32,3376.9494,0,22825.436700000013,3376.9494,3376.9494000000004,0
33,3362.8903,0,22842.988650000014,3362.8903,3362.8903,0
34,3365.8985000000002,0,22828.88775,3365.8985000000002,3365.8985000000002,0
35,3364.1421,0,22824.825549999998,3364.1421,3364.1421,0
36,3364.6987,0,22845.440349999997,3364.6987,3364.6987,0
37,3368.6818,0,22824.936900000008,3368.6818,3368.6818000000003,0
38,3320.6916,0,23129.929599999992,3320.6916,3320.6916,0
39,3359.7246,0,22819.86430000001,3359.7246,3359.7246000000005,0
40,3366.1343,0,22827.20765000001,3366.1343,3366.1343000000006,0
41,3368.9388,0,22847.656899999998,3368.9388,3368.9388,0
42,3354.4672,0,22817.40509999999,3354.4672,3354.4672,0
43,3360.3583,0,22877.55814999999,3360.3583,3360.3583,0
44,3369.7554,0,22825.43519999999,3369.7554,3369.7554,0
45,3351.3450000000003,0,22813.10450000001,3351.3450000000003,3351.3450000000003,0
46,3379.3739,0,22847.857950000005,3379.3739,3379.3739000000005,0
47,3360.4782,0,22838.55710000001,3360.4782,3360.4782000000005,0
48,3361.5536,0,22817.85480000001,3361.5536,3361.5536,0
49,3365.8635,0,22821.985250000005,3365.8635,3365.8635000000004,0
50,3356.6911,0,22817.38005000001,3356.6911,3356.6911,0
