Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
21888.6382,38146.79555,37807.44,37814.603,45604.422000000006
21932.6352,37905.6995,37857.971,37803.034,45603.545
21904.6723,37832.7019,37810.006,37807.988,45605.878
21982.0268,37923.2096,38123.137,37808.878,45606.152
21913.0408,37782.37895,38424.349,37803.793000000005,45604.813
21911.5732,37824.83415,37805.986,37804.933000000005,45604.944
21964.4352,37932.2265,38416.709,37839.005,45605.32000000001
22054.212700000004,37977.99355,37805.578,37804.92999999999,45605.255000000005
21949.3762,37941.05735,38156.997,37802.398,45606.349
21922.215900000003,37911.27655,37806.35400000001,37883.4545,45606.33900000001
22035.051,37738.41705,38418.023,37803.451,45606.192
21944.6445,37908.36455,37837.019,37815.697,45605.28200000001
22047.462700000004,38145.44545,38424.547,37806.773,45607.03
21928.6765,37917.46085,37907.602,37805.577000000005,45605.08
21964.5297,37867.7101,38008.122,37805.345,45606.438
21990.879200000003,37737.8985,38526.204,37802.821,45604.819
21920.634400000003,37730.1062,37873.41,37805.419,45605.764
21905.9238,37941.846,38419.118,37805.651,45606.39599999999
21921.2183,37991.1373,38492.063,37803.891,45604.846000000005
21916.3866,37902.6551,37816.811,37911.7475,45605.829
21921.2439,37946.54045,38347.336,37857.4225,45606.668000000005
21945.7146,37822.61425,37804.71400000001,38050.2745,45606.533
21827.1594,37831.5589,38419.052,37804.059,45606.603
21947.5948,38040.978,38535.331,37804.827000000005,45606.244000000006
21927.7189,37680.7428,37852.93,38025.667,45606.433000000005
21910.0139,37894.8155,37829.57,37802.984,45606.056
22205.7005,37944.5302,38171.482,37901.8705,45606.283
21980.014000000003,37942.04295,37806.006,37805.14,45605.875
22142.4522,38071.12525,37834.945,37805.47,45606.487
21922.6347,37836.3439,38493.523,37804.731,45606.706000000006
21913.6434,37751.8253,37810.96400000001,37802.799,45606.934
21908.977100000004,37834.93745,37807.124,37805.37699999999,45605.33900000001
21907.660900000003,37827.51815,38377.709,37813.4745,45606.232
21901.0407,37838.90305,37805.33,37832.0285,45606.272
21989.5746,37943.1926,38429.005,37881.274,45605.188
22035.7043,37981.72015,37805.884000000005,37844.56,45606.094
22022.064400000003,37833.79365,37808.71000000001,37811.706000000006,45605.611
21901.652,37966.77495,37805.52,37804.669,45605.844
21971.336300000003,37995.72875,37809.008,37805.033,45605.424
21928.7456,37870.23035,37809.617,37840.9565,45605.946
21904.305200000003,37964.2498,38416.826,37804.366,45606.85400000001
21923.4482,37911.1801,37960.139,37805.492,45605.34
21815.794500000004,37946.3017,37901.393,37827.9625,45604.66
21823.7362,37948.23835,37953.625,37806.96799999999,45604.846000000005
21836.148,37726.4734,37855.398,37805.90700000001,45606.821
21964.353000000003,37953.3098,37805.58,37805.361,45605.75199999999
21898.2969,37846.52475,37809.802,37806.35400000001,45605.76
21892.186,38007.29865,37816.866,37804.821,45606.847
21921.9931,37906.3349,38208.349,37804.741,45606.618
21904.997000000003,37823.6211,37876.301,37827.9955,45605.69899999999
