Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
21888.6382,38520.79555,37916.58,38153.103,45893.8165
21932.6352,38210.6995,38147.471,37853.2755,45885.65875
21904.6723,37955.7019,37972.5045,37849.991,45794.4085
21982.0268,38237.2096,38442.637,37850.6585,45908.614
21913.0408,37997.87895,38636.849,37836.84475,45795.10975
21911.5732,38079.83415,38097.4895,37896.69975,45604.944
21964.4352,38200.2265,38768.209,38112.005,45882.990000000005
22054.212700000004,38340.99355,37922.1835,37844.6975,45605.255000000005
21949.3762,38002.55735,38453.997,37903.2985,45808.761750000005
21922.215900000003,38218.77655,37903.26550000001,38160.4545,45867.754250000005
22035.051,37976.41705,38745.523,37931.08825,45762.644
21944.6445,38177.86455,38101.519,38165.197,45812.461500000005
22047.462700000004,38479.94545,38699.547,37856.57975,45868.2725
21928.6765,38256.46085,38165.102,37848.68275000001,45605.08
21964.5297,38175.7101,38056.622,37858.50875,45822.3285
22119.379200000003,38010.3985,38908.204,38129.61575,45825.61425
21920.634400000003,38048.6062,38293.41,37846.06425,45605.764
21905.9238,38257.346,38770.118,37836.73825,45606.39599999999
21921.2183,38261.6373,38890.063,37893.91825,45604.846000000005
21916.3866,38182.6551,38167.311,38144.7475,45774.37175
21921.2439,38197.04045,38748.836,38164.4225,45859.001
21945.7146,38129.61425,37908.535500000005,38318.2745,45606.533
21827.1594,38200.5589,38814.052,38098.54424999999,45802.45225
21947.5948,38306.478,38945.831,37845.12025000001,45608.183000000005
21927.7189,37922.7428,38135.43,38664.167,45849.82475
21910.0139,38466.3155,38155.07,37907.238,45841.542
22205.7005,38236.5302,38504.982,37982.8705,45606.283
21980.014000000003,38240.04295,37920.5045,37913.355,45877.90625
22142.4522,38435.62525,38216.945,37854.1025,45792.36525
21922.6347,38159.8439,38885.523,37848.04825,45896.5295
21913.6434,38026.8253,37847.723000000005,37918.59925,45606.934
21908.977100000004,38153.93745,37853.84299999999,38084.03275,45605.33900000001
21907.660900000003,37949.51815,38628.209,38048.9745,45813.674
21901.0407,38160.40305,37892.9975,38188.0285,45831.704
21989.5746,38232.6926,38833.505,38138.274,45650.891
22035.7043,38245.72015,37909.913,38171.06,45815.0705
22022.064400000003,38071.29365,37865.0325,38418.7795,45605.611
21901.652,38295.27495,37852.14,37896.50175,45605.844
22233.336300000003,38234.22875,37859.256,37896.77475,45605.424
21928.7456,37962.73035,37938.617,38154.9565,45799.4595
21904.305200000003,38293.2498,38680.326,38016.7745,45760.14050000001
21923.4482,38230.6801,38341.139,38137.119,45744.505
21815.794500000004,38252.3017,38140.893,38152.4625,45604.66
21823.7362,38245.23835,38289.125,37856.726,45604.846000000005
21836.148,37797.9734,38220.898,37841.430250000005,45881.61575
21964.353000000003,38256.3098,38106.185,38177.02075,45939.814
21898.2969,38101.02475,37838.3515,38020.26550000001,45605.76
21892.186,38258.29865,38118.866,38131.61575,45865.63524999999
21921.9931,38205.8349,38641.849,37849.55575,45606.618
21904.997000000003,38178.1211,38211.301,38201.9955,45605.69899999999
