Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
51987.0264,48055.741100000014,47493.87,47115.35300000002,55005.561
51773.5704,48249.49900000001,47611.02099999999,47621.417,54925.397375
51745.9446,48313.6538,47788.403000000006,47136.744000000006,55294.239
51417.4536,48577.66920000001,47338.28700000001,47515.889,55151.976
51418.0316,48631.3079,47429.84900000002,47512.49650000001,54965.7065
51471.6464,48818.36830000002,47465.193000000014,47451.21650000001,55372.822
51737.0704,48466.40299999999,47180.309000000016,47201.505000000005,55120.56000000001
51115.37540000001,48539.5371,47291.889,47231.86499999999,55101.07262500001
50125.9643,48309.56470000002,47765.497,47645.849,54885.7745
51727.28180000001,48256.05310000001,47664.47700000001,47355.5045,55317.26950000001
51733.102,48487.58410000001,47783.723000000005,46886.5255,55064.796
50515.689000000006,48646.0291,47686.169,47156.09700000001,55041.841
51541.17540000001,48459.2409,47499.497,47081.6365,54971.415
51794.30300000001,48772.72170000002,48066.052,47316.088500000005,55202.240000000005
51431.2094,48940.72019999998,47547.22200000001,47132.32250000001,55053.819
51029.80840000001,48560.447000000015,46915.304,46638.2605,55628.3095
51646.61880000001,48474.11240000001,47721.46000000002,47477.9095,55330.132
51484.1476,48464.092,47421.86800000002,46858.4755,56098.748
51552.28660000001,48189.02460000002,47437.41300000001,46958.8455,55054.75565000001
51524.4732,48387.41020000001,47480.561,47201.24749999999,55034.5645
51207.9878,48481.7309,47086.486,47227.52250000001,56025.284
49938.9719,48537.6785,46914.007000000005,46969.7245,55226.91650000001
51304.51879999999,48388.96780000001,47610.85200000001,47294.6295,55016.3515
51482.8896,48530.506000000016,47140.381,48071.363500000014,55080.572
51576.08780000001,48378.9356,48328.08,46886.117000000006,55402.016500000005
51570.1778,48226.73099999999,47602.32000000001,46988.642,55141.0934
51243.701,48242.41040000001,47444.732,47362.7705,55154.6915
51088.678000000014,48412.83590000001,48911.85299999999,47201.67,55341.8875
50853.9044,48351.7505,47274.045,47262.185,54924.2935
51716.669400000006,48652.6378,47613.523,47334.6655,55259.05300000001
51340.336800000005,48674.40059999999,47363.63200000001,47701.2995,55257.817
51489.00420000001,48679.5249,47424.462,47382.88849999999,55250.9195
51483.37180000001,48394.4863,47192.409000000014,47248.72449999998,54950.11600000001
51593.9314,48448.2561,47457.315,47537.5785,55322.786
51052.6992,48569.28520000001,47841.205,47559.97399999999,55589.044
50982.6086,48089.04030000001,47295.242,47020.10999999999,55321.047000000006
50463.17880000001,48537.937300000005,47235.155000000006,46951.10300000002,55165.4555
51550.60400000001,48177.4499,47615.76,46298.13449999999,54976.1291
51059.172600000005,48187.35750000001,47740.804,47491.9665,55134.512
51636.641200000005,48956.76069999999,47346.917,47078.6565,54753.973
51654.46040000001,48314.8496,47432.17600000001,47570.18299999998,54995.027
51499.3964,48455.1602,47292.13900000001,47302.14600000001,55050.82000000001
51201.13900000001,48696.35339999999,47552.49299999999,47214.3125,54739.380000000005
51460.4724,47620.8767,47128.975000000006,47277.034,55522.073
51237.39600000001,49168.29680000001,47413.24800000001,47737.45350000001,55429.3605
51821.10600000001,48364.019600000014,47623.240000000005,47512.28050000001,54754.27599999999
51108.44380000001,48129.39949999999,47300.801,47014.57700000002,55477.18
51537.22200000001,49654.94729999999,47518.366,46881.9605,55773.1735
50946.9362,48403.01980000001,47318.699,47365.9705,55365.209
51383.94400000001,48681.04219999999,47778.901,47489.79549999999,55089.5495
