Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
1842.0295,1255.65655,3402.6429,1512.2849,3366.1514
1842.1861,1256.5506,1519.6261,1515.2359,3380.2233
1842.7206,1248.301,1510.4072,1516.9540000000002,3376.2964
1847.9809,1244.8567,1510.0129000000002,1507.4863999999998,3356.4168
1843.203,1247.4323,1513.7642999999998,1512.4409999999998,3355.7719
1844.803,1241.7367,1508.5407,1509.9612000000002,3365.6092
1852.3808,1252.23765,1508.462,1505.6669000000002,3383.3679
1841.3037,1264.82465,1537.9678,1506.1832,3376.5701
1846.4875,1259.75005,1513.7707999999998,1506.2919000000002,3383.7802
1851.8726,1245.10845,1508.8195999999998,1513.9171,3373.0996
1842.255,1250.38625,1514.8235,1510.0504,3377.4681
1841.3826,1248.9723,1508.2125,1508.5647,3381.4599
1846.2577,1254.5302,1509.5306,1507.5335,3358.0032
1844.5073,1254.98615,1511.2352999999998,1508.5027,3371.1494
1845.472,1250.1651,1515.1515,1509.7620000000002,3358.0112
1843.8231,1255.82175,1508.4735,1508.7827000000002,3358.9366
1843.8658,1246.57205,1508.7397,1508.3357999999998,3368.7088
1845.2074,1248.27095,3401.3093,1509.4413,3373.8336
1845.8074,1252.43415,1512.9589,1518.7435999999998,3361.8211
1844.0179,1253.69175,1512.2929,1507.1894000000002,3365.0065
1858.3345,1259.5959,1512.7932999999998,1508.7982000000002,3383.0835
1846.8791,1258.8122,2803.7599,1513.0102000000002,3376.7844
1848.0386,1248.88685,1515.4567000000002,1511.3795,3368.3967
1845.6705,1255.26165,1520.6762,1508.0279,3367.3197
1843.9149,1246.25575,1515.7826,1508.8676,3372.1523
1846.5625,1253.62045,1513.2006,1506.5898000000002,3389.8417
1841.7935,1241.8552,1519.0404,1506.6419999999998,3371.0555
1849.2502,1256.65175,1510.2405,1507.0722,3358.6198
1850.5488,1254.2307,3408.4618,1504.4704000000002,3359.5795
1848.744,1244.476,1512.2492000000002,1507.6992,3380.2888
1845.6204,1252.04185,1511.3341,1509.6903000000002,3362.1992
1848.0051,1242.71455,1509.2875,1543.5949999999998,3373.321
1842.6616,1246.48085,1512.8988,1510.6266999999998,3376.1949
1847.6112,1251.2442,1512.0907000000002,1508.9092999999998,3371.8046
1842.8084,1247.3829,1514.5153,1508.7858,3364.0871
1847.1427,1264.36275,1514.2633,1511.6323000000002,3367.0871
1848.8967,1244.88335,1513.52,1517.2566000000002,3384.0034
1846.3977,1246.93555,1511.1801999999998,1506.7159,3363.6157
1842.5775,1244.0263,2769.5767,1505.5778,3366.3085
1849.0164,1255.4273,1511.8247,1507.4694,3382.126
1842.6982,1259.46235,1509.0901,1507.5700000000002,3374.6642
1841.4695,1256.15655,1510.1735,1506.6322,3368.8322
1842.6791,1265.0567,1509.9784,1508.6212,3354.8928
1846.0891,1250.44395,1513.4395,1508.3111,3378.1548
1844.1027,1251.1592,1516.3457,1509.5377,3376.0063
1848.5049,1254.3465,3364.3431,1511.6156999999998,3369.3476
1845.6677,1251.1099,1511.6660000000002,1506.4517999999998,3367.8741
1850.3568,1255.21135,1514.4499999999998,1506.9786,3373.699
1846.3237,1256.03405,1510.2345,1505.7480999999998,3363.3046
1848.2999,1250.6446,1511.7073999999998,1513.167,3373.6902
