Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
2.4999999999995453,599.9999999999999,15.500000000000457,66.0,0.0
0.0,807.5,24.0,24.5,0.0
6.499999999999545,645.5,23.5,25.5,0.0
0.0,273.5,10.5,3.5,0.0
0.5,244.0,34.500000000000455,28.0,0.0
1.0,606.5,24.5,19.5,0.0
12.0,338.5,9.0,16.0,0.0
3.0,250.0,22.0,5.5,0.0
5.0,455.0,69.0,10.5,2.0
1.0,243.5,11.500000000000457,67.5,24.5
0.5,426.0,36.0,33.5,0.0
2.5,252.0,18.5,23.0,0.0
0.0,221.49999999999977,12.0,19.0,0.0
2.5,662.0,26.0,23.0,0.0
6.5,198.0,18.0,3.0,0.0
7.5,239.5,32.0,28.5,0.0
1.0,257.5,15.0,33.0,0.0
10.0,711.0,19.0,18.5,0.0
5.0,612.5,53.5,56.5,0.0
0.0,629.0,6.0,15.5,0.0
0.0,259.0,33.999999999999545,18.5,0.0
3.5,666.5000000000001,10.499999999999543,12.0,0.0
0.0,448.5000000000002,28.50000000000045,23.00000000000045,0.0
16.5,233.0,5.0,32.5,0.0
7.0,219.5,33.5,20.0,0.0
8.5,248.5,24.5,29.5,0.0
0.0,268.5,54.5,5.0,1.5
1.0,301.0,8.0,71.0,0.0
0.9999999999995453,255.0,12.499999999999543,23.5,0.0
6.0,309.5,7.0,33.0,0.0
5.5,666.0,12.0,24.0,0.0
9.5,701.9999999999999,7.0,14.499999999999543,0.0
1.0,815.0,29.0,25.5,0.0
10.0,294.0,33.5,23.5,0.0
2.5,590.0,27.50000000000045,32.0,7.5
10.499999999999543,258.5,71.5,16.5,0.0
0.0,693.0,7.5,42.0,0.0
12.0,659.4999999999999,38.0,30.5,0.0
2.5000000000004547,756.0,18.0,22.0,0.0
9.5,298.0,15.5,21.5,0.0
0.0,667.9999999999999,33.0,23.5,0.0
2.0,617.9999999999999,28.0,13.5,0.0
1.0,244.0,32.0,10.0,0.0
0.5,275.0000000000002,26.5,32.5,0.0
10.5,646.5,68.0,29.0,0.0
1.0,552.5,12.0,63.0,0.0
2.5,421.0,30.0,21.0,0.0
8.0,244.0,10.5,15.5,0.0
11.0,422.5,12.0,8.0,0.0
9.5,467.0,31.50000000000045,18.5,0.0
