Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
1261.406,1285.83375,1514.0994,1519.8444,3354.0368
1254.27415,1277.21525,1520.2224,1509.2813,3371.2388
1250.04695,1286.908,3387.1847,1511.4914,3365.1049000000003
1258.16085,1274.4435,1512.5086,1514.2628,3373.1513
1254.4156,1284.89595,1510.7484,1508.9178000000002,3365.762
1260.25495,1288.3319,1514.6758,1506.3899,3351.6977
1249.8383,1281.9659,1510.6179000000002,1511.0707000000002,3363.9112
1252.0939,1266.34115,1512.2727,1510.4448000000002,3360.8398
1249.48725,1276.5085,1516.8073,1508.7486,3376.7145
1254.12665,1286.2131,1521.3845,1517.4777,3357.0612
1247.55465,1281.3236,1511.9897999999998,1510.0821999999998,3367.9484
1253.65635,1290.8017,1509.5508,1510.7786999999998,3357.9738
1259.50095,1285.237,1511.9422,1511.4472999999998,3366.7232000000004
1260.6134,1297.64465,1510.4034,1510.2475,3386.9042
1248.3546,1284.8404,1512.7988999999998,1511.8606,3320.8891000000003
1249.67695,1289.72785,1509.5895,1509.7097,3357.956
1250.73075,1282.8045,1510.1106,1509.4998,3364.3372
1251.0532,1290.9877,1509.8042999999998,3391.1922000000004,3355.5656
1250.91265,1271.816,1511.0616,1509.5148,3364.2055
1258.1037,1279.1859,1511.2944000000002,3403.3764,3367.4464
1251.3509,1286.3677,1511.6217,1510.8456,3367.9793
1250.22825,1291.39405,1511.1873,1508.1822000000002,3360.2357
1253.57915,1280.7384,1512.134,1507.4542,3374.9052000000006
1266.984,1273.8054,1512.2484,1507.6266,3369.2352
1251.0736,1281.64825,1511.9217,1507.9199,3364.4687000000004
1262.00505,1285.7496,1509.5301,1512.1504,3362.1363
1258.24745,1268.2605,1509.9110999999998,1509.7262999999998,3357.6761
1251.64505,1288.4276,1509.0911,1509.8392,3360.4666
1248.58225,1283.23495,1516.4017,3428.8863999999994,3359.1229
1257.4664,1296.7738,1512.2003,3396.9209,3363.7073
1252.22885,1284.4126,1510.6839,1509.2294000000002,3363.1378
1257.76555,1279.2675,1510.6985,3432.8609000000006,3376.9494
1262.76505,1275.7553,1508.1758,1510.3177999999998,3362.8903
1250.1069,1288.4708,1511.8712999999998,1511.3996000000002,3365.8985
1260.48585,1274.8614,1508.5344,1507.0079999999998,3364.1421
1261.7058,1280.54605,1512.3473,1511.0602,3364.6987
1249.75035,1276.63165,1514.6454,1515.9463999999998,3368.6818
1250.08645,1280.59575,1511.3494,1512.855,3320.6916
1254.96275,1284.164,1510.1182,1513.3231,3359.7246
1249.18055,1313.99775,1517.2349,1507.525,3366.1343
1264.6199,1292.78665,1509.1549,1511.5708,3368.9388
1248.81835,1287.58535,1509.3363,1509.8185,3354.4672
1265.6363,1278.73715,1508.5637000000002,1507.1504,3360.3583
1249.6324,1285.7602,1512.3582,3386.6729000000005,3369.7554
1248.9446,1273.78675,1509.6993000000002,3395.3854,3351.3450000000003
1251.9835,1273.7731,1511.2154,1508.0879,3379.3739
1247.6704,1285.08355,1510.1640000000002,1508.2458,3360.4782
1257.2909,1285.22925,1510.7514,1508.3494,3361.5536
1249.2407,1274.8897,1511.2979,1513.0488999999998,3365.8635
1257.54505,1279.39625,1510.7824999999998,1508.6792,3356.6911
