Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
4.5,3.0,36.0,21.0,0
6.499999999999773,43.0,6.5,30.5,0
9.5,82.0,30.5,30.5,0
4.5,78.5,48.5,26.0,0
5.5,6.5,56.0,7.5,0
8.0,2.0,14.5,9.0,0
7.0,6.0,37.5,12.0,0
5.5,92.0,12.0,10.0,0
19.0,8.0,11.0,44.0,0
12.0,7.0,30.5,22.0,0
7.0,78.5,45.0,10.0,21
4.999999999999773,62.5,7.5,40.0,0
10.0,1.0,36.0,28.5,24
7.0,42.5,24.0,7.0,0
15.0,95.0,11.5,6.5,0
3.0,9.0,51.0,11.0,0
6.0,99.0,27.5,9.0,0
3.0,16.5,11.0,31.0,0
6.999999999999773,9.0,21.0,28.0,0
8.5,57.0,30.0,35.0,0
10.5,87.5,33.5,9.5,0
4.0,8.0,55.0,10.0,0
8.5,97.0,7.0,26.5,0
9.0,5.0,43.0,9.0,0
6.0,57.5,32.0,22.0,0
11.000000000000227,10.5,15.0,59.5,0
11.0,71.5,9.5,5.0,0
1.0,8.5,22.5,25.0,0
17.5,0.0,17.5,20.5,0
5.999999999999773,5.0,34.5,24.5,0
5.5,75.0,9.5,33.0,0
5.0,83.5,41.5,29.0,0
7.0,90.0,12.0,26.5,0
18.000000000000227,0.0,10.032175000000052,3.0,0
7.5,7.0,10.5,9.0,0
10.5,55.5,10.5,30.5,0
12.499999999999773,9.0,46.0,19.0,0
5.500000000000227,8.5,8.5,90.5,0
10.0,14.0,16.0,11.5,0
13.5,13.0,40.38255000000004,0.0,0
4.5,6.0,44.0,37.5,0
11.0,82.0,10.5,29.0,0
12.5,86.5,41.0,8.5,0
7.0,103.0,9.0,21.5,0
9.500000000000227,3.0,11.0,24.0,0
8.5,16.0,55.0,27.0,0
2.5,6.5,48.5,36.0,0
6.0,9.5,18.0,14.0,0
10.5,88.0,6.0,29.0,0
3.0,84.5,29.0,10.5,0
